"Length","Width","Thickness","Freq","AmpEx","Density","Elasticity","Damping","Wn0","Wn1","Wn2","Wn3","Wn4","Wn5","Wn6","Wn7","Wn8","Wn9","Wn10","Wn11","Wn12","Wn13","Wn14","Wn15","Wn16","Wn17","Wn18","Wn19","Wn20","Wn21","Wn22","Wn23","Wn24","Wn25","Wn26","Wn27","Wn28","Wn29","Wn30","Wn31","Wn32","Wn33","Wn34","Wn35","Wn36","Wn37","Wn38","Wn39","Wn40","Wn41","Wn42","Wn43","Wn44","Wn45","Wn46","Wn47","Wn48","Wn49","Wn50","Wn51","Wn52","Wn53","Wn54","Wn55","Wn56","Wn57","Wn58","Wn59","Wn60","Wn61","Wn62","Wn63","Wn64","Wn65","Wn66","Wn67","Wn68","Wn69","Wn70","Wn71","Wn72","Wn73","Wn74","Wn75","Wn76","Wn77","Wn78","Wn79","Wn80","Wn81","Wn82","Wn83","Wn84","Wn85","Wn86","Wn87","Wn88","Wn89","Wn90","Wn91","Wn92","Wn93","Wn94","Wn95","Wn96","Wn97","Wn98","Wn99"
0.166,0.013,0.001,34.,0.003,2154.,1.12e11,2.36375,0.01625354203869267,0.009572231176423335,-0.0013659240166593312,-0.011695054211968578,-0.016820148593269524,-0.01446131839305212,-0.005667917250018438,0.0056482987150973385,0.014453236025634864,0.016830020513141447,0.011721267143428221,0.0013996953448039218,-0.009543177220249943,-0.016239285750922483,-0.015709869114711977,-0.008190443210225468,0.0029739368950225525,0.012816750203364077,0.016959391148762187,0.013558951916586376,0.004128203210956364,-0.007137649004948399,-0.015226853387652839,-0.016540918818980482,-0.01049526319004876,0.00022064011523789673,0.010839803904975881,0.016638234676992242,0.015036483747039253,0.006747104765179646,-0.004542382778410625,-0.013809755969130214,-0.01693237997107791,-0.012521142250493375,-0.0025384349343770575,0.00857492139601293,0.015875079107571216,0.016114573631734103,0.009186815433870121,-0.0018263377445182846,-0.012025644457003548,-0.016873851407404855,-0.01421424396662839,-0.0052299792664770445,0.00608228319774351,0.014690206573811121,0.016764562123134097,0.011382499404396035,0.0009383159711689503,-0.00992191730362739,-0.016366900017899394,-0.015529587073968287,-0.007782470497262592,0.003428118107931019,0.013115093208156639,0.016969179411926688,0.013275826629834231,0.003678117880137371,-0.0075544740562032,-0.015424991600444443,-0.01643222290392768,-0.010128093460300247,0.000682950128974142,0.011191592456889304,0.016723009054538218,0.01481652157743811,0.006320270504520796,-0.004986219469809677,-0.014073149296799148,-0.016898161210031903,-0.012204534614621176,-0.002080280211379725,0.008970809330463347,0.016032588629834643,0.015963628390672224,0.00879457432912531,-0.002285392186081203,-0.01234729578420618,-0.016915016922929155,-0.013956609667419295,-0.004788152275821328,0.006511750660764273,0.014916263733975144,0.01668664657150165,0.0110352768807645,0.00047624163216568836,-0.01029328325142606,-0.01648235126908118,-0.015337767482462836,-0.007368713399577419,0.003879754631069557,0.01340369488448534,0.016966363470446028,0.012982842342924267,0.003225301597038743,-0.007965684494443223,-0.015611664915073487,-0.01631131524055182,-0.00975339578850834,0.0011447551224890475
0.072,0.017,0.004,29.,0.005,2692.,1.58e11,0.0320126,0.052572082007742216,0.04196367846337111,0.033415378309129155,0.027181705560928367,0.023228938983734647,0.02133787594622258,0.020945730612969768,0.020989404152956026,0.020081368717932563,0.017007053776432537,0.01117027435897748,0.0026480345792151694,-0.008088427046514319,-0.020420968474129372,-0.033558923513189357,-0.04639462310437728,-0.05758902987106365,-0.06599534512468617,-0.07112454863128975,-0.07326238123099338,-0.07317798252739799,-0.07174999221011444,-0.06984625146969992,-0.06843024005035658,-0.06856647404063684,-0.0711129824262399,-0.07628712511776248,-0.08350452340202805,-0.09165871227326886,-0.09958653778403165,-0.1063249988672878,-0.11105600074164475,-0.1130116421021408,-0.11163461023849294,-0.10693581515290834,-0.09968435191607786,-0.09117192809957869,-0.08270769448817528,-0.07525334503673675,-0.06941810805525667,-0.06562551305055232,-0.06410762493072782,-0.06465224564102598,-0.06639846658856965,-0.06800176777461507,-0.06812924232936773,-0.06590322342186401,-0.06097857638341546,-0.05333586843496771,-0.04314311685200166,-0.030881181256384685,-0.017537322475557178,-0.004516393461258601,0.006807221364097643,0.015580351104418591,0.02162526076625114,0.02522151666281053,0.026838811401745957,0.02711469272975678,0.027004041412163775,0.027762171425550167,0.030579742110387283,0.03609129545283141,0.04416110494620276,0.054094476818126375,0.0650137832860038,0.07603470949598277,0.08618472537219676,0.09435228382199852,0.09953263141232918,0.10126699783634009,0.09989133851278617,0.09635239292333792,0.09176263760940745,0.08708990613788722,0.08316321747681357,0.08078468952585857,0.08062638024407046,0.08288513863991451,0.08702033247866252,0.09188651514459045,0.09619651162864182,0.09893346048606112,0.09942721156631917,0.09720309573909224,0.09194496667490709,0.08372078934484123,0.07323694034258912,0.061771469431294926,0.05073455214252934,0.04118716909571436,0.03367617517534502,0.028393114784953464,0.025336902239514424,0.024227982558082402,0.024293824153340013,0.02427527802015332,0.02280969691003111,0.01894472224585951,0.01238411402300018
0.08,0.022,0.003,33.,0.001,2283.,6.9e10,0.0267639,0.015352176433624003,0.012329795815323556,0.010718147696458638,0.010162267170208385,0.010051609026819602,0.009782892427131144,0.008932709146142158,0.007337055943284701,0.005110195585113631,0.002589092723874295,0.00016784563125600907,-0.0019375791819911288,-0.0038514590817937226,-0.005985365375152782,-0.008770444230805838,-0.012348324219212024,-0.016429079170716874,-0.020393831034795504,-0.02354857762987448,-0.025373070862822533,-0.025680180127500257,-0.024687697205657798,-0.02301008067270016,-0.021531409760371472,-0.021127306738300832,-0.02231255280311216,-0.02500055967715265,-0.028536623878444953,-0.03200018835075257,-0.03459076226774265,-0.03588585808514905,-0.03588470383688076,-0.03490076863118494,-0.033407929575450385,-0.03188387624280981,-0.03064852610983343,-0.02973240920302475,-0.028867558394929153,-0.027663244382712067,-0.025892414336508525,-0.02369752314606091,-0.021558345342168477,-0.020035107455089025,-0.01946288878775123,-0.019780127606662798,-0.020548410719824883,-0.02109719128282791,-0.020710465300010188,-0.01883022064487897,-0.015268078851758505,-0.010354771866256742,-0.004906565829323899,0.00004944368152110662,0.0036852052475717725,0.005692206080129178,0.006338163225178354,0.006265481151801153,0.006190876772884187,0.006668957846477719,0.007974132157704747,0.010070542916846486,0.012648868770343942,0.015254682383372666,0.017508823597839514,0.019322266965431444,0.0209519912117078,0.022823672939506313,0.02522186054545355,0.02805923764681642,0.03087521477967085,0.03304208850946705,0.03403002776193608,0.03359831775057411,0.031880062745804266,0.029382412036837655,0.026897318390408945,0.025286504117708258,0.025161497189119676,0.02659712415370899,0.029060623602133996,0.03163108747572714,0.03339142962243376,0.033768389056524906,0.03266311624613527,0.030375774860041442,0.027433700171871765,0.02441214192055264,0.021765807103730665,0.019680230101843478,0.018005371219938327,0.016354278080993545,0.014359080429751474,0.011937385002725912,0.009379966134372295,0.0071871859771811585,0.0057676147104317455,0.005199543906948134,0.005179050610426775,0.005133965890735384,0.0044075250226629885
0.17,0.007,0.001,28.,0.003,2230.,1.97e11,2.04704,0.0063796630709073154,0.0015001313868348298,-0.0038370876688348793,-0.008001473163468074,-0.009720820268909539,-0.008469923507634411,-0.00463091094325721,0.0006234456616138334,0.0056879145757346775,0.009015400074632945,0.00958946019644763,0.007234718431843756,0.0026704463558074043,-0.002709038252644555,-0.007260311511708469,-0.009592962499798921,-0.008994420191453939,-0.0056475404015567665,-0.0005747421906223821,0.004674218628842083,0.008495852270234316,0.009722765096819755,0.007980163697238779,0.0038003236176281097,-0.0015398979759061876,-0.0064090790368772355,-0.009319683981408713,-0.009382568893083587,-0.006578543069523463,-0.0017641867487437346,0.0035897166941022407,0.007847585160252617,0.009708756082110484,0.008604701558318023,0.004872637355139292,-0.00034738656836137694,-0.005460677352020951,-0.008905127734651762,-0.009628488050833661,-0.007409812004795069,-0.0029268623270335137,0.00245084197532823,0.007080416768983827,0.009547641297952977,0.009098862407271507,0.0058711312330329835,0.0008504201675403611,-0.004429484494008443,-0.00835557750915563,-0.009728452568150858,-0.008128750732076917,-0.004045150184360774,0.0012748506412220556,0.006205970440773152,0.00924186016543311,0.009455154649583158,0.006780671417921685,0.0020353658275232556,-0.0033311324025367545,-0.007679363727639085,-0.009680950380482833,-0.008724464868213641,-0.005102099954619882,0.00007956182012465451,0.005237497673188055,0.008796046701033695,0.009668180953349259,0.0075874746912560215,0.003189490477295498,-0.0021822696700845162,-0.006886740405074504,-0.009486705462228594,-0.0091879313496422,-0.006081700243803834,-0.001116911507580226,0.004189673299060143,0.008216957342552848,0.009734715186247092,0.008279314847896402,0.004295302997682576,-0.001000304588122003,-0.005989712732642628,-0.009148657460134248,-0.009512124199295965,-0.006969103615310501,-0.002296440898977542,0.00307837471431964,0.007513359998409467,0.009653741256015591,0.008845701519672622,0.005336038032247387,0.00019684901674642263,-0.005001872603072152,-0.008671920926692946,-0.009692120791318898,-0.007750849014596356,-0.0034411289668498657,0.001920456369750495,0.006695927819388669,0.009426494697476584
0.212,0.019,0.003,29.,0.005,2057.,1.27e11,0.56331,0.0015970311079828714,0.0030477165278094964,0.0035021026339184507,0.00281158966524106,0.0012021139045668705,-0.0007999032638615344,-0.002539636077001972,-0.0034480657087312475,-0.0032280671287482354,-0.0019515795853048135,-0.000036042460960949985,0.0018920844208853427,0.0032021115763685715,0.0034654891815389874,0.002596107938200226,0.0008783748585739493,-0.0011259095721993795,-0.0027612247834382098,-0.0034927585003048586,-0.00308126499234887,-0.0016613629847303524,0.0003025790267542905,0.0021682397244205953,0.0033253107662957887,0.003395289026250005,0.002355354287823991,0.0005456823942674438,-0.0014418094886704536,-0.0029570666536652412,-0.003504495786311618,-0.0029050300062712364,-0.0013547387195928517,0.0006394222912219916,0.002425231471729239,0.0034185235564691413,0.003294391501725294,0.002093480461425601,0.00020861994605730905,-0.0017437316941149028,-0.0031250618086801074,-0.003483596617585981,-0.002702110569445665,-0.0010362246540743247,0.0009692671360022054,0.0026583796918382974,0.003478561162326206,0.0031615309366199718,0.0018110498995520807,-0.00013113343977710912,-0.0020297818866360506,-0.003263890705588232,-0.0034298054174389248,-0.002473267119811551,-0.0007070824716124968,0.0012911590467470369,0.002867863934145176,0.0035072746514078074,0.003000220443574536,0.0015126308229321817,-0.0004689424423205968,-0.002296430819937273,-0.003372133280659134,-0.0033442705930682576,-0.002221983848876119,-0.0003723183499265703,0.001599782354101853,0.003049253059212359,0.0035019089555717465,0.0028097277470966187,0.0011991875194251045,-0.0008029503203504373,-0.0025418077439664233,-0.0034486651733898546,-0.003226907356705916,-0.0019490491109591668,-0.000032990725362558315,0.0018946506478603187,0.0032033374905341416,0.0034649623717639966,0.0025939983973244096,0.0008753593572501939,-0.0011288449016307323,-0.002763121406635566,-0.00349299823598951,-0.0030797607533223914,-0.0016586112279214915,0.000305679377998469,0.002170674461703853,0.003326275982544008,0.0033944726739792985,0.002353016547328335,0.0005425833037356886,-0.0014446561507621136,-0.002958736239687121,-0.003504434464508646,-0.0029032534615874572,-0.0013518230947935361,0.0006425362393206457,0.002427531534636651,0.0034192792733333532
0.135,0.013,0.001,31.,0.004,2033.,1.69e11,2.62001,0.0030012519359587306,-0.004116040741989471,-0.0097016784874768,-0.011676571370033778,-0.009305658560811017,-0.00347150560403813,0.003654082754005583,0.009418579241308872,0.011676161155240533,0.00958635613306362,0.003927074593557827,-0.003195120945259075,-0.009129080244186127,-0.011665977729604177,-0.009861525776013527,-0.0043874492656815,0.002718575781433266,0.00881133826304567,0.011622903395651973,0.010106651361857899,0.004827051998902423,-0.0022505732094819514,-0.008491525573414704,-0.011572627103319855,-0.010346883757839334,-0.005270563128772299,0.0017668297759630414,0.008145715929830405,0.011491677984197368,0.010559233469001367,0.005695553556131699,-0.001288884658457945,-0.007794043878883661,-0.011398393582590927,-0.010760150934139665,-0.006116857856690874,0.0008031206661351792,0.0074239610110987675,0.011281172017432978,0.010939053389152312,0.006525019072660197,-0.0003177838677666106,-0.007042061920853909,-0.011144675019007927,-0.011098317527029097,-0.006920179643684951,-0.00016547037701662715,0.006651483439015088,0.010993197195447807,0.011243600718315969,0.007309574520371294,0.0006555206509882422,-0.006241512427691359,-0.010814124022726551,-0.011360123828666496,-0.007676191046789592,-0.0011336192213861687,0.005832226152817019,0.010628388613346113,0.011469570292977696,0.008042708159138628,0.0016234054566795844,-0.005398768134428619,-0.010409868577255205,-0.011544588746611545,-0.008380555679759524,-0.002095579228702467,0.00497071291200607,0.010187869403719657,0.011613791940961654,0.008717631760700346,0.0025774081811198377,-0.0045213234997975305,-0.009936154425347704,-0.011651543220708327,-0.00902899540551147,-0.0030447758403568947,0.004073443306154487,0.00967585971752874,0.011676967889073547,0.009331762750119293,0.0035132106844249344,-0.0036128917319506043,-0.009393967411711113,-0.011678146576795834,-0.00961527646153261,-0.003973286329918865,0.003147539209047076,0.009096427070797775,0.011658852663890468,0.00988083022142644,0.004424180600143074,-0.0026800058400727467,-0.008787294974482551,-0.0116244049324421,-0.010135329022499542,-0.004874411678881443,0.0021999597429106232,0.008454297150752937,0.01156045736203476
0.244,0.01,0.004,35.,0.004,2146.,9.9e10,0.442169,-0.020721810743844132,0.002729507983850663,0.024897825986275463,0.03535697205745658,0.02918784661978671,0.009291915679442125,-0.014973541709456084,-0.0321960610244425,-0.03427567515834806,-0.020234285144638015,0.003324201295153432,0.0253198735797103,0.03540780214043859,0.028843466236546544,0.008714213301897478,-0.015512913456906557,-0.032443479333055913,-0.034114814119424575,-0.019740840990147057,0.003918075758059324,0.025734805376660397,0.03544856409700553,0.02849080462618306,0.008133927623674861,-0.016048015383197667,-0.03268178626527651,-0.03394429121000375,-0.019241724708907115,0.004511069510454359,0.026142812114522573,0.03547975209993626,0.028130593365436496,0.007551810079789278,-0.016578155044944448,-0.03291054892164996,-0.033764039780347255,-0.018737185692784514,0.005102597905274446,0.026543099605443404,0.035500506671450494,0.02776198124409804,0.0069671728663846175,-0.017103886283751507,-0.03313012681474048,-0.03357415918613055,-0.018227135423371482,0.005693027056306289,0.02693628168197465,0.03551158495052431,0.027385825455594287,0.006380705560664751,-0.017624834907482817,-0.033340578169974766,-0.033375223403056875,-0.01771244944338618,0.0062812744769861414,0.027321336080886827,0.03551226077076841,0.027001707170007133,0.005792435360616993,-0.018140609960929616,-0.033541266232537725,-0.03316639243050706,-0.01719232392993847,0.006868117187391748,0.02769889348596649,0.035502948342777785,0.026609900484254323,0.005202308328276201,-0.018651547732387613,-0.03373276543286968,-0.03294844194020652,-0.01666740661620178,0.007453103766962066,0.02806886503940209,0.035483981309957,0.026210977490987303,0.004611179056119942,-0.019156793724866672,-0.03391441511164772,-0.032720973957989063,-0.01613778218990991,0.00803588275377165,0.028430752829673472,0.0354548239103723,0.025804585792932516,0.0040187463820674785,-0.019656506279426528,-0.034086226329034075,-0.03248393182265069,-0.015603165690385792,0.00861677368387237,0.028784879745376385,0.035415798649057806,0.02539085429159571,0.0034250267695935324,-0.020150945108613233,-0.03424884893337932,-0.03223821912586072,-0.015064708203353844
0.082,0.013,0.004,34.,0.004,2656.,9.7e10,0.0139536,0.14912167708788682,0.12038221237882016,0.09357797620921918,0.07147651493235394,0.056421151476283786,0.04982979946079455,0.050700285328913255,0.054591993187945054,0.05482933034698906,0.045747710177950235,0.02565252541835073,-0.0028177547798282424,-0.03494403414016989,-0.06661280520976573,-0.09537630692448157,-0.1198900187240429,-0.13930738148328647,-0.15364412916859368,-0.16434928661272857,-0.1736867616730177,-0.1829199634306467,-0.19104647656611926,-0.19571539569658064,-0.1958234901643528,-0.19340104079949128,-0.19290249002741033,-0.1984618787699615,-0.2115011714782255,-0.23043438665784988,-0.2519935271034682,-0.2724359682163938,-0.2878044853884733,-0.2941345290073451,-0.2887630274707321,-0.27229135283078476,-0.24926841200140537,-0.226288330631307,-0.20855229582363632,-0.19753643112857117,-0.19143995615009068,-0.18753263770586132,-0.18404282801291133,-0.1802394862040544,-0.17551804937167345,-0.16910975492929817,-0.16076531427048113,-0.1511615948397634,-0.1409357197370202,-0.12906473529402057,-0.1125570673553497,-0.0884139920996872,-0.05645205989087734,-0.020428710848502923,0.013652683737266944,0.04062505497316936,0.05817228002174607,0.06674469770721991,0.06846247837855206,0.06654360583501867,0.06533558944414958,0.06968849135260946,0.08298418818533547,0.10503415423027232,0.13191843424233,0.15837218523373392,0.1809211435785587,0.19920572693929967,0.21470179445255566,0.2284786417516604,0.24019098431857627,0.24880537680170142,0.2536723149126537,0.25458985849200794,0.2511843289246258,0.24303494242960538,0.2310433069273744,0.2186588120456633,0.21109711031006098,0.21247058852574796,0.22298063542359792,0.23854467372351962,0.25309621552223815,0.26151580378928646,0.26104913009930186,0.250990739331347,0.2320692394358553,0.20657629949044826,0.17858865875511554,0.1529378933587079,0.13289687403397377,0.11837944934147773,0.10649147298580741,0.09418121104542412,0.08067294997351865,0.06757670728350691,0.056867692207035136,0.04887847792967541,0.042048794469678866,0.03411102646801109,0.023071039361271164
0.083,0.013,0.003,29.,0.002,2855.,2.07e11,0.117463,0.00042720117143274505,0.0004072514462873031,0.0003706005471755876,0.0003129283221360718,0.00023966083881347272,0.0001640774937543138,0.00010192003763957735,0.00006508067756197215,0.000057102849560643903,0.00007138320287781996,0.00009254368719613382,0.00010032671160379453,0.00007539038638781914,6.114798198652779e-6,-0.00010619545311724848,-0.000246089610887984,-0.00038799941146887285,-0.0005040694222179752,-0.0005725533605623221,-0.0005841259870642025,-0.000544297219193475,-0.0004719405152953174,-0.0003946097479784541,-0.00034113267434934466,-0.0003333780185804519,-0.0003793837861263555,-0.00047079789231270486,-0.000586068151048974,-0.0006974839187624295,-0.0007798136667552258,-0.0008171424336650378,-0.0008062018881009603,-0.0007561648923122624,-0.0006853087143278147,-0.0006153632573527908,-0.0005646196477979305,-0.0005419556322986199,-0.0005445549046476927,-0.0005601814740124958,-0.0005728907618771303,-0.0005695828876443481,-0.0005444619537262399,-0.0005004244088738299,-0.00044740641213469184,-0.0003987013153273142,-0.00036622990020233805,-0.00035551668557012167,-0.0003623491945251786,-0.00037316450054164507,-0.00036940936944938885,-0.00033455217794025466,-0.00026070568635803114,-0.00015200701346188006,-0.000023961507472906873,0.00010077461676048088,0.00019852133834151117,0.0002512594938483795,0.00025252487130031365,0.0002105009535211394,0.00014667553009745787,0.00008983475685166165,0.00006716162387820912,0.00009579199408290932,0.0001779011622478413,0.0003006102478445988,0.0004400363534078633,0.0005678915866962064,0.0006590122885224114,0.0006982898016138148,0.000685088998504349,0.0006330581887331599,0.0005654735827267457,0.0005072471782325977,0.00047693179784464093,0.00048180855557743846,0.0005171257149789443,0.000569169723866593,0.0006201166211840629,0.0006537475676608165,0.0006606854366237279,0.0006412979145498168,0.0006052843965788646,0.000567462090627021,0.0005413015573429011,0.0005332322646059463,0.0005399387530210867,0.0005500270292416939,0.0005484292573901262,0.0005216680354419613,0.0004629071052877805,0.0003750661858434451,0.0002714005736863395,0.00017244619728042088,0.0000997233458952286,0.00006827745794299412,0.00008063608136545802,0.00012526019038177488,0.00018001380402710848,0.00021853114769063847,0.00021793769815372892
0.117,0.023,0.003,27.,0.001,2447.,9.3e10,0.091114,-0.0018731364711729037,-0.0030187980626818454,-0.0030677661530014375,-0.0020397405798666182,-0.00025588469450611717,0.0017526476362480694,0.003394362581326499,0.004184145208304374,0.0038796633732773,0.0025482630034537428,0.0005456370491190884,-0.001587432907124691,-0.003279560455362953,-0.004090035291062888,-0.003832080089922335,-0.002623631591054224,-0.0008514461849899094,0.0009408286990795593,0.00220953722060218,0.0025672256338975206,0.0018931722005909798,0.0003666480278641353,-0.0015867265372627815,-0.0034187099677824954,-0.004616345602405907,-0.004849348968253564,-0.004065178017565188,-0.002504716000476163,-0.0006332853198511255,0.0009936847851255773,0.0018915312561954972,0.0017871191480950677,0.0006987297237460478,-0.0010681351134708642,-0.003007333367507716,-0.004556131103214019,-0.005256290543053689,-0.004886403209787168,-0.00352785276878859,-0.0015447729404055083,0.0005180372630435061,0.0020893740050948496,0.0027344431010452655,0.002279408776756031,0.000862014975136112,-0.0011055192727404393,-0.003051320720456564,-0.004404128009220784,-0.004754298995678481,-0.00397061859098051,-0.0022389449600520306,-0.000010884350124445129,0.002122746798130841,0.003598011050389042,0.004035701099095262,0.0033468405799568016,0.0017569621522152412,-0.00025794069305268286,-0.0021052833493954808,-0.0032424508264738763,-0.0033293923022610084,-0.0023236626590304316,-0.0004908098813595288,0.0016727162622314183,0.003581453259578843,0.004726329848821764,0.0048171881765955715,0.003862790843764667,0.0021659789981815403,0.00023584839702375446,-0.0013585318843234266,-0.002151121787070054,-0.0019115575508957885,-0.0007095241855294004,0.0011074061783754464,0.00301579791415928,0.004467249529286468,0.005045701046945857,0.004586474188026629,0.0032233129063771356,0.001349928975476061,-0.0004937802879188789,-0.001777956847581183,-0.002136227901505885,-0.0014720853947401275,0.000012812594406831981,0.0018763186346208265,0.003562156288520607,0.004559497970369142,0.004550153079474012,0.003501717466643149,0.0016798207965651284,-0.0004257661539668698,-0.0022399566172856405,-0.0032665314961791217,-0.003230575070978608,-0.0021580797950284253,-0.0003703597335239124,0.001605267514570836,0.0031835111225901533
